房源编号,总价,单价,面积,房龄,地址,看房纪录
sh4739083,80,18774,42.61,暂无数据,农场新村,0
sh4765054,85,19486,43.62,1979,东区新村,2
sh4718558,90,21082,42.69,暂无数据,东区新村,2
sh4753222,100,21949,45.56,2001,人民东路22弄,32
sh4558901,105,21779,48.21,2001,人民东路22弄,23
sh4702588,105,22483,46.7,2001,人民东路22弄,22
sh4570369,110,26290,41.84,1984,朝农新村,3
sh4631925,110,22816,48.21,2001,人民东路22弄,5
sh4756245,110,23881,46.06,2001,人民东路22弄,0
sh4645777,112,23982,46.7,2001,人民东路22弄,15
sh4685244,113,27668,40.84,1984,朝农新村,6
sh4770153,113,25456,44.39,2001,人民东路22弄,0
sh4527410,114,23646,48.21,2001,人民东路22弄,12
sh4337636,118,25267,46.7,2001,人民东路22弄,7
sh4647378,118,25618,46.06,2001,人民东路22弄,11
sh4647319,118,25618,46.06,2001,人民东路22弄,5
sh4388022,118,24145,48.87,2001,人民东路22弄,8
sh4697435,119,26807,44.39,2001,人民东路22弄,4
sh4726556,120,13778,87.09,2004,汇成路1245弄,19
sh4708651,120,26425,45.41,2008,芦云路201弄,5
sh4641021,120,23076,52.0,1994,芦潮港农场,0
sh4450504,120,27014,44.42,2001,人民东路22弄,16
sh4744187,120,24891,48.21,2001,人民东路22弄,0
sh4610256,120,23446,51.18,2001,人民东路22弄,12
sh4744188,120,24891,48.21,2001,人民东路22弄,0
sh4765996,120,27033,44.39,2001,人民东路22弄,0
sh4765993,120,26052,46.06,2001,人民东路22弄,0
sh4611878,121,23642,51.18,2001,人民东路22弄,8
sh4493628,125,27436,45.56,2001,人民东路22弄,8
sh4398583,127,25870,49.09,2008,彩云路357弄,23
